234.72999677 	234.34193854 	233.90313093 	233.40415462 	232.84555909 	232.20670297 	231.49173984 	230.68577895 	229.77690957 	228.75175215 	227.57332002 	226.23100662 	224.69481412 	222.89749546 	220.96735904 	218.77968365 	216.27050450 	213.46720474 	210.41623717 	209.64515421 	209.37969273 	210.13289936 	213.16969854 	215.96852845 	218.47323756 	220.65477394 	222.57895220 	224.36631385 	225.89558041 	227.23160054 	228.40338561 	229.42111751 	230.32064690 	231.11565929 	231.81812983 	232.44303987 	232.98602955 	233.46736241 	233.88602401 	234.25043701 	
234.34191722 	233.94888011 	233.50782922 	233.00809176 	232.44907656 	231.81004560 	231.09503815 	230.28920074 	229.38060195 	228.35583555 	227.17801409 	225.83664025 	224.30188421 	222.50688505 	220.57892660 	218.39392729 	215.88801300 	213.08886682 	210.04339719 	209.27723154 	209.07239950 	209.82810084 	212.86065159 	215.65466333 	218.15463615 	220.33189491 	222.25214187 	224.03617165 	225.56207579 	226.89488326 	228.06366927 	229.07870211 	229.97580777 	230.76863941 	231.46913324 	232.09223534 	232.63358750 	233.11345377 	233.53096253 	233.89526299 	
233.90314482 	233.50786549 	233.06344866 	232.56152277 	232.00194004 	231.36277315 	230.64789002 	229.84233856 	228.93423058 	227.91011370 	226.73319530 	225.39308981 	223.86013586 	222.06787582 	220.14254936 	217.96073581 	215.45865879 	212.66428976 	209.62496672 	208.86376045 	208.71785231 	209.47574958 	212.50334526 	215.29192259 	217.78661479 	219.95912862 	221.87504060 	223.65535136 	225.17757121 	226.50688006 	227.67242490 	228.68454088 	229.57904987 	230.36952495 	231.06786851 	231.68901749 	232.22864180 	232.70709889 	233.12401485 	233.48752719 	
233.40435636 	233.00831567 	232.56170991 	232.05798944 	231.49628852 	230.85682873 	230.14211506 	229.33704159 	228.42961160 	227.40639881 	226.23068666 	224.89219344 	223.36143938 	221.57237952 	219.65018651 	217.47211950 	214.97452409 	212.18564348 	209.15323127 	208.39713683 	208.30974293 	209.06961725 	212.09147665 	214.87390216 	217.36267852 	219.52989365 	221.44098492 	223.21711968 	224.73524906 	226.06071453 	227.22270099 	228.23164867 	229.12332422 	229.91120921 	230.60722229 	231.22626420 	231.76417935 	232.24155908 	232.65740156 	233.01984992 	
232.84615488 	232.44969554 	232.00252258 	231.49668523 	230.93476676 	230.29331530 	229.57859361 	228.77404322 	227.86749863 	226.84539053 	225.67116549 	224.33461763 	222.80644534 	221.02103663 	219.10245828 	216.92869133 	214.43620494 	211.65351567 	208.62877360 	207.87794369 	207.84892824 	208.61057028 	211.62591851 	214.40148385 	216.88371376 	219.04508244 	220.95086218 	222.72234392 	224.23598953 	225.55724735 	226.71538695 	227.72089371 	228.60947133 	229.39457232 	230.08808520 	230.70505650 	231.24143016 	231.71740559 	232.13188916 	232.49313705 	
232.20770314 	231.81106671 	231.36375650 	230.85762562 	230.29371425 	229.65379078 	228.93726195 	228.13311543 	227.22759102 	226.20691321 	225.03451348 	223.70035463 	222.17528001 	220.39412231 	218.47981253 	216.31108174 	213.82455937 	211.04900736 	208.03295984 	207.28761777 	207.31681300 	208.07991498 	211.08770602 	213.85545075 	216.33027909 	218.48505765 	220.38483389 	222.15104306 	223.65965132 	224.97625967 	226.13013456 	227.13181917 	228.01699623 	228.79905118 	229.49005347 	230.10497642 	230.63955557 	231.11375876 	231.52668774 	231.88659161 	
231.49295014 	231.09627053 	230.64908415 	230.14312475 	229.57920649 	228.93747858 	228.22429657 	227.41855576 	226.51390720 	225.49479286 	224.32457414 	222.99316214 	221.47166205 	219.69532775 	217.78589421 	215.62290119 	213.14314048 	210.37562703 	207.36924617 	206.62963215 	206.71703531 	207.48133170 	210.48057502 	213.23958408 	215.70618569 	217.85361910 	219.74676008 	221.50707605 	223.01016599 	224.32166618 	225.47086049 	226.46838772 	227.34987862 	228.12888237 	228.81736901 	229.43003505 	229.96242110 	230.43465628 	230.84586478 	231.20429506 	
230.68715102 	230.29059557 	229.84369591 	229.33821550 	228.77482127 	228.13350009 	227.41872425 	226.61835121 	225.71240577 	224.69474860 	223.52692560 	222.19873295 	220.68130042 	218.91045158 	217.00661111 	214.85016464 	212.37811384 	209.61969250 	206.62414531 	205.89054994 	206.03712427 	206.80234598 	209.79186886 	212.54103041 	214.99838856 	217.13760089 	219.02329635 	220.77704857 	222.27398770 	223.57981021 	224.72384783 	225.71681834 	226.59455094 	227.37046351 	228.05613664 	228.66604656 	229.19598693 	229.66603147 	230.07535485 	230.43214989 	
229.77822036 	229.38193741 	228.93553007 	228.43073044 	227.86822411 	227.22792743 	226.51402942 	225.71236155 	224.81406612 	223.79549518 	222.63001136 	221.30534815 	219.79260053 	218.02791511 	216.13046664 	213.98148299 	211.51818893 	208.77006574 	205.78666366 	205.05946132 	205.26665829 	206.03253314 	209.01095682 	211.74901360 	214.19596026 	216.32591314 	218.20333901 	219.94970313 	221.43976250 	222.73928847 	223.87763974 	224.86591531 	225.73988010 	226.51225287 	227.19451165 	227.80133939 	228.32855423 	228.79619985 	229.20343470 	229.55839859 	
228.75343682 	228.35754402 	227.91178511 	227.40788972 	226.84648777 	226.20762293 	225.49528714 	224.69507509 	223.79586257 	222.78750750 	221.62174439 	220.30059557 	218.79295165 	217.03525314 	215.14498379 	213.00446833 	210.55108801 	207.81456560 	204.84479132 	204.12447813 	204.39573578 	205.16203400 	208.12790094 	210.85336342 	213.28855045 	215.40819363 	217.27632703 	219.01436091 	220.49673360 	221.78926106 	222.92167418 	223.90530813 	224.77479883 	225.54288375 	226.22130088 	226.82467646 	227.34887552 	227.81384445 	228.21873316 	228.57165674 	
