# All data here refers to Q = 0.0000 0.0000 - Columns: iw - Rows: nu
-21 	0.00375677 	0.00394918 	0.00416236 	0.00439986 	0.00466609 	0.00496658 	0.00530840 	0.00570072 	0.00615558 	0.00668923 	0.00732404 	0.00809175 	0.00903884 	0.01023634 	0.01179824 	0.01391977 	0.01696467 	0.02169482 	0.03000668 	0.04818955 	0.11701485 	-0.11878302 	-0.04862490 	-0.03018551 	-0.02178994 	-0.01702325 	-0.01395934 	-0.01182673 	-0.01025781 	-0.00905560 	-0.00810519 	-0.00733506 	
-20 	0.00415145 	0.00437555 	0.00462520 	0.00490505 	0.00522093 	0.00558025 	0.00599264 	0.00647078 	0.00703174 	0.00769903 	0.00850600 	0.00950154 	0.01076027 	0.01240202 	0.01463195 	0.01783237 	0.02280393 	0.03153948 	0.05064735 	0.12296567 	-0.12491962 	-0.05112843 	-0.03173708 	-0.02290903 	-0.01789710 	-0.01467568 	-0.01243349 	-0.01078400 	-0.00952006 	-0.00852085 	-0.00771120 	-0.00704189 	
-19 	0.00461173 	0.00487486 	0.00516981 	0.00550272 	0.00588142 	0.00631606 	0.00681999 	0.00741119 	0.00811447 	0.00896494 	0.01001414 	0.01134070 	0.01307089 	0.01542091 	0.01879357 	0.02403249 	0.03323722 	0.05336922 	0.12955401 	-0.13172463 	-0.05390363 	-0.03345673 	-0.02414924 	-0.01886548 	-0.01546948 	-0.01310585 	-0.01136706 	-0.01003471 	-0.00898144 	-0.00812798 	-0.00742247 	-0.00682954 	
-18 	0.00515299 	0.00546475 	0.00581665 	0.00621695 	0.00667636 	0.00720901 	0.00783391 	0.00857727 	0.00947621 	0.01058518 	0.01198729 	0.01381598 	0.01629974 	0.01986424 	0.02540089 	0.03512805 	0.05640012 	0.13688808 	-0.13931349 	-0.05699723 	-0.03537331 	-0.02553134 	-0.01994458 	-0.01635402 	-0.01385505 	-0.01201673 	-0.01060816 	-0.00949464 	-0.00859237 	-0.00784652 	-0.00721969 	-0.00668551 	
-17 	0.00579537 	0.00616854 	0.00659304 	0.00708023 	0.00764508 	0.00830775 	0.00909602 	0.01004927 	0.01122523 	0.01271201 	0.01465111 	0.01728474 	0.02106419 	0.02693444 	0.03724685 	0.05979581 	0.14510204 	-0.14782986 	-0.06046734 	-0.03752268 	-0.02708115 	-0.02115455 	-0.01734578 	-0.01469504 	-0.01274513 	-0.01125107 	-0.01007000 	-0.00911301 	-0.00832192 	-0.00765708 	-0.00709052 	-0.00660197 	
-16 	0.00656573 	0.00701754 	0.00753607 	0.00813725 	0.00884255 	0.00968151 	0.01069607 	0.01194761 	0.01352995 	0.01559362 	0.01839636 	0.02241834 	0.02866493 	0.03963749 	0.06362633 	0.15436427 	-0.15745476 	-0.06438710 	-0.03994997 	-0.02883112 	-0.02252071 	-0.01846551 	-0.01564339 	-0.01356746 	-0.01197689 	-0.01071954 	-0.00970076 	-0.00885860 	-0.00815085 	-0.00754773 	-0.00702766 	-0.00657458 	
-15 	0.00750042 	0.00805460 	0.00869711 	0.00945088 	0.01034751 	0.01143177 	0.01276929 	0.01446029 	0.01666563 	0.01966067 	0.02395841 	0.03063285 	0.04235582 	0.06798085 	0.16488904 	-0.16841958 	-0.06884989 	-0.04271277 	-0.03082271 	-0.02407535 	-0.01973966 	-0.01672248 	-0.01450314 	-0.01280274 	-0.01145858 	-0.01036949 	-0.00946922 	-0.00871264 	-0.00806792 	-0.00751197 	-0.00702766 	-0.00660197 	
-14 	0.00864968 	0.00933962 	0.01014903 	0.01111182 	0.01227607 	0.01371224 	0.01552791 	0.01789577 	0.02111143 	0.02572550 	0.03289067 	0.04547412 	0.07297470 	0.17695322 	-0.18102488 	-0.07397686 	-0.04588573 	-0.03310961 	-0.02586034 	-0.02120252 	-0.01796134 	-0.01557732 	-0.01375080 	-0.01230698 	-0.01113716 	-0.01017018 	-0.00935754 	-0.00866505 	-0.00806792 	-0.00754773 	-0.00709052 	-0.00668551 	
-13 	0.01008454 	0.01095844 	0.01199791 	0.01325487 	0.01480539 	0.01676557 	0.01932180 	0.02279311 	0.02777374 	0.03550746 	0.04908756 	0.07875971 	0.19092102 	-0.19566831 	-0.07992804 	-0.04956742 	-0.03576269 	-0.02793093 	-0.02289930 	-0.01939823 	-0.01682317 	-0.01485034 	-0.01329092 	-0.01202745 	-0.01098309 	-0.01010543 	-0.00935754 	-0.00871264 	-0.00815085 	-0.00765708 	-0.00721969 	-0.00682954 	
-12 	0.01190796 	0.01303739 	0.01440309 	0.01608770 	0.01821735 	0.02099447 	0.02476555 	0.03017592 	0.03857608 	0.05332413 	0.08553984 	0.20728126 	-0.21288720 	-0.08691930 	-0.05389070 	-0.03887743 	-0.03036151 	-0.02489094 	-0.02108471 	-0.01828536 	-0.01614078 	-0.01444565 	-0.01307227 	-0.01193706 	-0.01098309 	-0.01017018 	-0.00946922 	-0.00885860 	-0.00832192 	-0.00784652 	-0.00742247 	-0.00704189 	
