2.44132505 	2.44434338 	2.44916903 	2.45536106 	2.46298683 	2.47213619 	2.48292331 	2.49562988 	2.51056802 	2.52811147 	2.54891342 	2.57362145 	2.60329398 	2.63923322 	2.68326845 	2.73804263 	2.80733709 	2.89670933 	3.01466633 	3.17353213 	3.17608009 	3.01924238 	2.90238542 	2.81366695 	2.74478655 	2.69029292 	2.64646676 	2.61070423 	2.58120110 	2.55666700 	2.53605906 	2.51873749 	2.50405674 	2.49164897 	2.48120729 	2.47245365 	2.46527616 	2.45957895 	2.45527364 	2.45283618 	
2.44434343 	2.45490179 	2.45840609 	2.46395643 	2.47112092 	2.47993353 	2.49047965 	2.50301803 	2.51784535 	2.53532501 	2.55610587 	2.58082952 	2.61055784 	2.64659439 	2.69077973 	2.74577130 	2.81537532 	2.90517884 	3.02377660 	3.18368870 	3.18655722 	3.02895954 	2.91162303 	2.82257337 	2.75345038 	2.69878831 	2.65485309 	2.61903229 	2.58951015 	2.56500399 	2.54446606 	2.52726403 	2.51275708 	2.50058929 	2.49046904 	2.48213992 	2.47551095 	2.47052683 	2.46766177 	2.45527370 	
2.44916919 	2.45840620 	2.47019804 	2.47430064 	2.48076446 	2.48907473 	2.49925715 	2.51153908 	2.52619211 	2.54356324 	2.56429109 	2.58901404 	2.61878904 	2.65492634 	2.69927172 	2.75450268 	2.82445638 	2.91476252 	3.03409360 	3.19521185 	3.19846895 	3.04000037 	2.92212038 	2.83268159 	2.76328452 	2.70844306 	2.66439879 	2.62852119 	2.59900181 	2.57455004 	2.55412538 	2.53709930 	2.52284301 	2.51101709 	2.50135307 	2.49361678 	2.48775974 	2.48434376 	2.47052697 	2.45957914 	
2.45536109 	2.46395640 	2.47430053 	2.48755062 	2.49242259 	2.49996557 	2.50960128 	2.52149090 	2.53587281 	2.55306680 	2.57369467 	2.59838509 	2.62819357 	2.66442822 	2.70894612 	2.76444188 	2.83478722 	2.92566858 	3.04585696 	3.20837763 	3.21211149 	3.05263691 	2.93411452 	2.84423253 	2.77453560 	2.71949972 	2.67534043 	2.63942494 	2.60993331 	2.58558053 	2.56532925 	2.54856261 	2.53466889 	2.52333372 	2.51431176 	2.50741505 	2.50327431 	2.48775960 	2.47551094 	2.46527620 	
2.46298673 	2.47112073 	2.48076416 	2.49242232 	2.50743936 	2.51322686 	2.52202031 	2.53331433 	2.54727500 	2.56418610 	2.58464056 	2.60925041 	2.63906142 	2.67538708 	2.72008880 	2.77588248 	2.84666858 	2.93821166 	3.05941021 	3.22361268 	3.22791007 	3.06722983 	2.94795263 	2.85756894 	2.78754161 	2.73228945 	2.68802222 	2.65208972 	2.62267159 	2.59848100 	2.57849299 	2.56210814 	2.54874112 	2.53810235 	2.52999621 	2.52498469 	2.50741486 	2.49361651 	2.48213977 	2.47245359 	
2.47213614 	2.47993343 	2.48907452 	2.49996547 	2.51322710 	2.53032451 	2.53717338 	2.54754046 	2.56085260 	2.57731371 	2.59747813 	2.62192815 	2.65169508 	2.68808661 	2.73297314 	2.78908897 	2.86038378 	2.95267787 	3.07506197 	3.24124670 	3.24620764 	3.08410693 	2.96396234 	2.87302287 	2.80262015 	2.74715322 	2.70279555 	2.66688768 	2.63760808 	2.61367803 	2.59408845 	2.57826740 	2.56565586 	2.55601856 	2.54999205 	2.52999632 	2.51431167 	2.50135284 	2.49046895 	2.48120726 	
2.48292336 	2.49047970 	2.49925710 	2.50960128 	2.52202053 	2.53717358 	2.55670476 	2.56490878 	2.57719943 	2.59295617 	2.61264439 	2.63680761 	2.66644806 	2.70286066 	2.74791932 	2.80438106 	2.87623979 	2.96941924 	3.09314661 	3.26163277 	3.26736755 	3.10365239 	2.98254622 	2.89096573 	2.82017028 	2.76449194 	2.72007983 	2.68426405 	2.65522585 	2.63170338 	2.61271502 	2.59771262 	2.58619729 	2.57886291 	2.55601873 	2.53810250 	2.52333377 	2.51101705 	2.50058936 	2.49164905 	
2.49563001 	2.50301816 	2.51153909 	2.52149102 	2.53331475 	2.54754087 	2.56490891 	2.58742567 	2.59729958 	2.61192885 	2.63085541 	2.65452602 	2.68390325 	2.72025443 	2.76545007 	2.82226864 	2.89475402 	2.98892984 	3.11423705 	3.28530884 	3.29198121 	3.12650615 	3.00429346 	2.91201666 	2.84080881 	2.78494027 	2.74053665 	2.70492071 	2.67628412 	2.65339141 	2.63528732 	2.62148670 	2.61253115 	2.58619738 	2.56565618 	2.54874134 	2.53466897 	2.52284296 	2.51275718 	2.50405686 	
2.51056825 	2.51784559 	2.52619226 	2.53587302 	2.54727531 	2.56085321 	2.57719965 	2.59729971 	2.62344779 	2.63536504 	2.65305183 	2.67591049 	2.70479832 	2.74094690 	2.78620803 	2.84337669 	2.91655371 	3.01186414 	3.13898081 	3.31319827 	3.32103506 	3.15341939 	3.02997428 	2.93693560 	2.86529698 	2.80928541 	2.76499420 	2.72974591 	2.70175528 	2.67980724 	2.66301410 	2.65206870 	2.62148680 	2.59771277 	2.57826783 	2.56210828 	2.54856277 	2.53709940 	2.52726424 	2.51873770 	
2.52811190 	2.53532548 	2.54356363 	2.55306728 	2.56418673 	2.57731447 	2.59295661 	2.61192917 	2.63536520 	2.66595339 	2.68058283 	2.70208525 	2.73012728 	2.76583115 	2.81102407 	2.86850073 	2.94241055 	3.03901423 	3.16826515 	3.34615591 	3.35546078 	3.18542839 	3.06055185 	2.96667162 	2.89462035 	2.83855019 	2.79453856 	2.75992064 	2.73292279 	2.71239746 	2.69880133 	2.66301434 	2.63528767 	2.61271546 	2.59408918 	2.57849356 	2.56532975 	2.55412577 	2.54446654 	2.53605951 	
