0.00000000 	0.00000000 
2.26612431 	0.00000000 
2.74440331 	0.00000000 
2.26244873 	0.03414567 
2.73361670 	0.04125670 
2.20767629 	0.13214313 
2.65894411 	0.15915431 
2.05113766 	0.27309240 
2.47321983 	0.32928924 
1.83326205 	0.42931923 
2.22078879 	0.52007149 
1.61052039 	0.58616046 
1.96117583 	0.71378402 
1.40628126 	0.74079712 
1.71954174 	0.90581564 
1.22256038 	0.89546512 
1.49863116 	1.09767334 
1.05405251 	1.05405251 
1.29319201 	1.29319201 
1.73441646 	0.00000000 
3.14159265 	0.43312617 
1.68968228 	0.10113797 
2.99181535 	0.63930727 
1.40311803 	0.32858671 
2.62715326 	0.94485385 
1.07632108 	0.56698157 
2.17566564 	1.30793938 
0.80673686 	0.80673686 
1.72688805 	1.72688805 
0.93865942 	0.00000000 
3.14159265 	1.67578116 
0.43660284 	0.43660284 
2.37596004 	2.37596004 
2.45283528 	0.00000000 
2.45044000 	0.02923995 
2.41212959 	0.11433677 
2.28790114 	0.24163318 
2.09236015 	0.38885377 
1.87556721 	0.54045253 
1.66716579 	0.69056268 
1.47647785 	0.83906615 
1.30226661 	0.98796670 
1.14089821 	1.14089821 
3.14159265 	3.14159265 
